step,actic loss,critic loss,average distance,time
10,-426.0012,105.0353,10.3975,0min11sec
20,-313.2260,73.5840,10.3424,0min11sec
30,-172.7366,54.5597,10.0638,0min11sec
40,-132.8444,41.6849,9.6212,0min11sec
50,-106.0388,33.8165,9.2336,0min11sec
60,-88.8579,28.4802,8.9548,0min11sec
70,-76.4790,24.6470,8.7488,0min11sec
80,-67.0273,21.7545,8.5959,0min11sec
90,-59.6806,19.4993,8.4765,0min11sec
100,-53.7408,17.6890,8.3836,0min11sec
110,-48.9481,16.2069,8.3072,0min11sec
120,-44.9278,14.9689,8.2445,0min11sec
130,-41.5487,13.9260,8.1887,0min11sec
140,-38.5944,13.0230,8.1425,0min10sec
150,-36.0402,12.2411,8.1013,0min11sec
160,-33.8072,11.5571,8.0638,0min11sec
170,-31.8276,10.9543,8.0313,0min10sec
180,-30.0693,10.4193,8.0013,0min10sec
190,-28.4909,9.9385,7.9743,0min11sec
200,-27.0760,9.5099,7.9474,0min10sec
210,-25.7791,9.1190,7.9239,0min11sec
220,-24.6098,8.7612,7.9019,0min11sec
230,-23.5601,8.4360,7.8826,0min11sec
240,-22.5778,8.1387,7.8654,0min11sec
250,-21.6767,7.8636,7.8499,0min11sec
260,-20.8421,7.6111,7.8355,0min10sec
270,-20.0644,7.3773,7.8219,0min11sec
280,-19.3592,7.1588,7.8120,0min11sec
290,-18.7035,6.9531,7.8033,0min11sec
300,-18.0839,6.7624,7.7946,0min11sec
310,-17.4902,6.5843,7.7847,0min11sec
320,-16.9521,6.4200,7.7753,0min10sec
330,-16.4431,6.2614,7.7669,0min11sec
340,-15.9635,6.1151,7.7582,0min11sec
350,-15.5125,5.9776,7.7508,0min11sec
360,-15.0771,5.8469,7.7436,0min11sec
370,-14.6796,5.7241,7.7358,0min11sec
380,-14.2836,5.6093,7.7288,0min10sec
390,-13.9079,5.5001,7.7225,0min11sec
400,-13.5593,5.3936,7.7157,0min11sec
410,-13.2334,5.2933,7.7090,0min11sec
420,-12.9154,5.1977,7.7034,0min10sec
430,-12.6158,5.1061,7.6971,0min11sec
440,-12.3430,5.0188,7.6917,0min11sec
450,-12.0708,4.9353,7.6869,0min11sec
460,-11.8093,4.8558,7.6825,0min10sec
470,-11.5633,4.7796,7.6797,0min11sec
480,-11.3267,4.7071,7.6762,0min10sec
490,-11.0933,4.6373,7.6723,0min10sec
500,-10.8732,4.5702,7.6692,0min11sec
510,-10.6538,4.5061,7.6656,0min11sec
520,-10.4497,4.4444,7.6613,0min11sec
530,-10.2501,4.3853,7.6579,0min11sec
540,-10.0660,4.3269,7.6541,0min11sec
550,-9.8808,4.2723,7.6512,0min11sec
560,-9.7041,4.2188,7.6477,0min11sec
570,-9.5360,4.1674,7.6449,0min11sec
580,-9.3713,4.1182,7.6418,0min10sec
590,-9.2118,4.0706,7.6384,0min10sec
600,-9.0518,4.0259,7.6351,0min11sec
610,-8.9042,3.9807,7.6320,0min11sec
620,-8.7658,3.9359,7.6290,0min11sec
630,-8.6235,3.8934,7.6266,0min11sec
640,-8.4894,3.8521,7.6239,0min11sec
650,-8.3624,3.8119,7.6219,0min10sec
660,-8.2333,3.7730,7.6196,0min10sec
670,-8.1105,3.7352,7.6174,0min11sec
680,-7.9924,3.6985,7.6153,0min11sec
690,-7.8788,3.6630,7.6131,0min11sec
700,-7.7658,3.6286,7.6133,0min10sec
710,-7.6570,3.5951,7.6152,0min10sec
720,-7.5531,3.5644,7.6136,0min11sec
730,-7.4495,3.5348,7.6118,0min11sec
740,-7.3563,3.5049,7.6100,0min11sec
750,-7.2612,3.4750,7.6082,0min11sec
760,-7.1661,3.4460,7.6065,0min10sec
770,-7.0746,3.4183,7.6050,0min10sec
780,-6.9834,3.3905,7.6030,0min11sec
790,-6.8953,3.3632,7.6008,0min10sec
800,-6.8106,3.3367,7.5991,0min11sec
810,-6.7249,3.3105,7.5973,0min12sec
820,-6.6422,3.2856,7.5962,0min11sec
830,-6.5597,3.2617,7.5944,0min11sec
840,-6.4822,3.2379,7.5937,0min11sec
850,-6.4069,3.2153,7.5930,0min11sec
860,-6.3362,3.1927,7.5912,0min11sec
870,-6.2624,3.1709,7.5899,0min11sec
880,-6.1927,3.1487,7.5882,0min10sec
890,-6.1256,3.1275,7.5865,0min11sec
900,-6.0578,3.1059,7.5847,0min11sec
910,-5.9935,3.0855,7.5833,0min11sec
